2 2 0.25 4 12				
2 5 0.25 4 12				
3 1 0.25 4 12	141	6	0%	1%
4 2 0.25 4 12				
4 5 0.25 4 12				
7 2 0.25 4 12	600	40	1%	4%
8 10 0.25 4 12	9695	132		
8 1 0.25 4 12	468	24	1%	7%
8 2 0.25 4 12	684	48		
8 4 0.25 4 12	1124	96	2%	6%
8 5 0.25 4 12	1380	120		
9 1 0.25 4 12	535	30	1%	9%
9 2 0.25 4 12	816	60	2%	6%
10 10 0.25 4 12	18468	132		
10 1 0.25 4 12	622	35	1%	9%
10 2 0.25 4 12	936	70	2%	6%
10 5 0.25 4 12	5048	132		
15 10 0.25 4 12	50505	132		
15 2 0.25 4 12	2597	132		
15 5 0.25 4 12	20567	132		
20 10 0.25 4 12	90185	132		
20 2 0.25 4 12				
20 5 0.25 4 12	41081	132		
50 10 0.25 4 12				
50 2 0.25 4 12	99230	132		
50 5 0.25 4 12				
100 2 0.25 4 12				
