2 1 0.25 4 12	- -	122	5	0%	1%
2 2 0.25 4 12	4 5	154	9	0%	1%
2 3 0.25 4 12	6 9	218	15	0%	2%
2 4 0.25 4 12	8 12	266	20	0%	3%
3 1 0.25 4 12	3 6	141	6	0%	1%
3 2 0.25 4 12	6 12	269	18	0%	4%
3 3 0.25 4 12	9 17	317	26	0%	3%
3 4 0.25 4 12	12 19	397	31	0%	3%
4 1 0.25 4 12	4 7	228	11	0%	2%
4 2 0.25 4 12	8 14	340	22	0%	3%
4 3 0.25 4 12	12 22	460	34	0%	3%
4 4 0.25 4 12	16 30	576	46	1%	4%
5 1 0.25 4 12	5 9	299	14	0%	3%
5 2 0.25 4 12	10 18	443	28	0%	4%
5 3 0.25 4 12	15 28	565	43	1%	3%
5 4 0.25 4 12	20 35	682	55	1%	3%
6 1 0.25 4 12	6 12	386	18	0%	5%
6 2 0.25 4 12	12 23	520	35	1%	5%
6 3 0.25 4 12	18 34	686	52	1%	3%
6 4 0.25 4 12	24 41	804	65	1%	4%
7 1 0.25 4 12	7 13	385	20	0%	4%
7 2 0.25 4 12	14 27	600	40	1%	4%
7 3 0.25 4 12	21 39	767	60	1%	4%
7 4 0.25 4 12	28 53	982	81	2%	6%
8 10 0.25 4 12	- -	9695	132		
8 1 0.25 4 12	8 16	468	24	1%	7%
8 2 0.25 4 12	16 32	684	48	1%	6%
8 3 0.25 4 12	24 48	916	72	2%	5%
8 4 0.25 4 12	32 64	1124	96	2%	6%
8 5 0.25 4 12	- -	1380	120		
9 1 0.25 4 12	9 21	535	30	1%	9%
9 2 0.25 4 12	18 42	816	60	2%	6%
9 3 0.25 4 12	27 63	1079	90	3%	8%
9 4 0.25 4 12	36 84	1319	120		
10 10 0.25 4 12	- -	18468	132		
10 1 0.25 4 12	10 25	622	35	1%	9%
10 2 0.25 4 12	20 50	936	70	2%	6%
10 3 0.25 4 12	30 75	1218	105		
10 4 0.25 4 12	40 100	2215	132		
10 5 0.25 4 12	- -	5048	132		
12 2 0.25 4 12	24 72	1224	96	3%	9%
14 2 0.25 4 12	28 98	1524	126		
15 10 0.25 4 12	- -	50505	132		
15 2 0.25 4 12	- -	2597	132		
15 4 0.25 4 12	60 228	14481	132		
15 5 0.25 4 12	- -	20567	132		
16 2 0.25 4 12	32 128	3979	132		
18 2 0.25 4 12	36 162	7009	132		
20 10 0.25 4 12	- -	90185	132		
20 2 0.25 4 12	40 200	10965	132		
20 4 0.25 4 12	80 400	31138	132		
20 5 0.25 4 12	- -	41081	132		
30 2 0.25 4 12	60 450	33358	132		
50 2 0.25 4 12	- -	99230	132		
