2 1 0.25 4 12	122	5	0%	1%
2 2 0.25 4 12	154	9	0%	1%
2 3 0.25 4 12	218	15	0%	2%
2 4 0.25 4 12	266	20	0%	3%
3 1 0.25 4 12	141	6	0%	1%
3 2 0.25 4 12	269	18	0%	4%
3 3 0.25 4 12	317	26	0%	3%
3 4 0.25 4 12	397	31	0%	3%
4 1 0.25 4 12	228	11	0%	2%
4 2 0.25 4 12	340	22	0%	3%
4 3 0.25 4 12	460	34	0%	3%
4 4 0.25 4 12	576	46	1%	4%
5 1 0.25 4 12	299	14	0%	3%
5 2 0.25 4 12	443	28	0%	4%
5 3 0.25 4 12	565	43	1%	3%
5 4 0.25 4 12	682	55	1%	3%
6 1 0.25 4 12	386	18	0%	5%
6 2 0.25 4 12	520	35	1%	5%
6 3 0.25 4 12	686	52	1%	3%
6 4 0.25 4 12	804	65	1%	4%
7 1 0.25 4 12	385	20	0%	4%
7 2 0.25 4 12	600	40	1%	4%
7 3 0.25 4 12	767	60	1%	4%
7 4 0.25 4 12	982	81	2%	6%
8 1 0.25 4 12	468	24	1%	7%
8 2 0.25 4 12	684	48	1%	6%
8 3 0.25 4 12	916	72	2%	5%
8 4 0.25 4 12	1124	96	2%	6%
9 1 0.25 4 12	535	30	1%	9%
9 2 0.25 4 12	816	60	2%	6%
9 3 0.25 4 12	1079	90	3%	8%
10 1 0.25 4 12	622	35	1%	9%
10 2 0.25 4 12	936	70	2%	6%
