2 2 0.25 4 12	4 5	154	9	0%	1%
3 2 0.25 4 12	6 12	269	18	0%	4%
4 2 0.25 4 12	8 14	340	22	0%	3%
5 2 0.25 4 12	10 18	443	28	0%	4%
6 2 0.25 4 12	12 23	520	35	1%	5%
7 2 0.25 4 12	14 27	600	40	1%	4%
8 2 0.25 4 12	16 32	684	48	1%	6%
9 2 0.25 4 12	18 42	816	60	2%	6%
10 2 0.25 4 12	20 50	936	70	2%	6%
12 2 0.25 4 12	24 72	1224	96	3%	9%
14 2 0.25 4 12	28 98	1524	126		
15 2 0.25 4 12	- -	2597	132		
16 2 0.25 4 12	32 128	3979	132		
18 2 0.25 4 12	36 162	7009	132		
20 2 0.25 4 12	40 200	10965	132		
50 2 0.25 4 12	- -	99230	132		
